timestamp,actual,raw_340,average_5,median_5,median_7,ema_0.2,ema_0.5,hybrid_med_ema,kalman,mad_filter,regression_calibrated
45121,16.0,15.079,15.082400000000002,15.079,15.079,15.08141750080864,15.08019477698207,15.079000000000002,15.078692940035515,15.079,15.32028178837634
46121,16.0,15.096000000000002,15.0858,15.079,15.079,15.084334000646916,15.088097388491036,15.079000000000002,15.079438249486673,15.079,15.3383384867675
47121,16.0,15.062000000000001,15.079000000000002,15.079,15.079,15.079867200517533,15.075048694245519,15.079000000000002,15.078702281855954,15.079,15.302225089985178
48121,16.0,15.079,15.079000000000002,15.079,15.079,15.079693760414028,15.077024347122759,15.079000000000002,15.078714611827902,15.079,15.32028178837634
49121,16.0,15.079,15.079000000000002,15.079,15.079,15.079555008331223,15.07801217356138,15.079000000000002,15.078726224013396,15.079,15.32028178837634
50121,16.0,15.062000000000001,15.0756,15.079,15.079,15.07604400666498,15.07000608678069,15.079000000000002,15.078056829381497,15.0756,15.302225089985178
51121,16.0,15.079,15.0722,15.079,15.079,15.076635205331984,15.074503043390346,15.079000000000002,15.07809399433756,15.079,15.32028178837634
52121,16.0,15.079,15.0756,15.079,15.079,15.077108164265589,15.076751521695172,15.079000000000002,15.078129179221294,15.079,15.32028178837634
53121,16.0,15.079,15.0756,15.079,15.079,15.077486531412472,15.077875760847586,15.079000000000002,15.07816253959858,15.079,15.32028178837634
54121,16.0,15.062000000000001,15.0722,15.079,15.079,15.074389225129977,15.069937880423794,15.079000000000002,15.077551234272027,15.079,15.302225089985178
55121,16.0,15.096000000000002,15.079000000000002,15.079,15.079,15.078711380103982,15.082968940211899,15.079000000000002,15.078240692432708,15.079,15.3383384867675
56121,16.0,15.062000000000001,15.0756,15.079,15.079,15.075369104083187,15.07248447010595,15.079000000000002,15.077640541306767,15.0756,15.302225089985178
57121,16.0,15.079,15.0756,15.079,15.079,15.07609528326655,15.075742235052974,15.079000000000002,15.077690250924602,15.0756,15.32028178837634
58121,16.0,15.062000000000001,15.0722,15.062000000000001,15.079,15.073276226613242,15.068871117526488,15.075600000000001,15.077122175171409,15.062000000000003,15.302225089985178
59121,16.0,15.079,15.0756,15.079,15.079,15.074420981290595,15.073935558763244,15.076280000000002,15.077189534711554,15.0756,15.32028178837634
60121,16.0,15.079,15.0722,15.079,15.079,15.075336785032478,15.076467779381623,15.076824000000004,15.07725391470227,15.079,15.32028178837634
61121,16.0,15.079,15.0756,15.079,15.079,15.076069428025983,15.077733889690812,15.077259200000004,15.07731549988241,15.079,15.32028178837634
62121,16.0,15.079,15.0756,15.079,15.079,15.076655542420788,15.078366944845406,15.077607360000004,15.077374458955875,15.079,15.32028178837634
63121,16.0,15.096000000000002,15.082400000000002,15.079,15.079,15.080524433936631,15.087183472422705,15.077885888000004,15.078021694696133,15.079,15.3383384867675
64121,16.0,15.079,15.082400000000002,15.079,15.079,15.080219547149307,15.083091736211353,15.078108710400004,15.078055461843391,15.079,15.32028178837634
65121,16.0,15.079,15.082400000000002,15.079,15.079,15.079975637719446,15.081045868105676,15.078286968320004,15.07808785746178,15.079,15.32028178837634
66121,16.0,15.079,15.082400000000002,15.079,15.079,15.079780510175558,15.080022934052838,15.078429574656004,15.078118956397718,15.079,15.32028178837634
67121,16.0,15.079,15.082400000000002,15.079,15.079,15.079624408140448,15.07951146702642,15.078543659724804,15.078148827761227,15.079,15.32028178837634
676281,12.7,12.716000000000001,14.606400000000002,15.079,15.079,14.60689952651236,13.897755733513211,15.078634927779845,14.998479952637634,15.079,12.810400712005084
677281,12.7,12.733,14.137200000000002,15.079,15.079,14.232119621209888,13.315377866756606,15.078707942223877,14.922446415201378,15.079,12.828457410396243
678281,12.7,12.733,13.668000000000001,12.733,15.079,13.93229569696791,13.024188933378303,14.609566353779103,14.849303211371897,12.727333333333334,12.828457410396243
679281,12.7,12.716000000000001,13.195400000000001,12.733,12.733,13.68903655757433,12.870094466689153,14.234253083023283,14.778343802067887,12.7245,12.810400712005084
680281,12.7,12.733,12.7262,12.733,12.733,13.497829246059464,12.801547233344577,13.934002466418628,14.710586367918774,12.732999999999999,12.828457410396243
681281,12.7,12.733,12.729600000000001,12.733,12.733,13.344863396847572,12.767273616672288,13.693801973134903,14.645323268224816,12.733,12.828457410396243
682281,12.7,12.733,12.729600000000001,12.733,12.733,13.222490717478058,12.750136808336144,13.501641578507924,14.582439745495005,12.733,12.828457410396243
683281,12.7,12.733,12.729600000000001,12.733,12.733,13.124592573982447,12.741568404168072,13.347913262806339,14.52182831744817,12.733,12.828457410396243
684281,12.7,12.733,12.733,12.733,12.733,13.046274059185958,12.737284202084037,13.224930610245071,14.46338816200139,12.733,12.828457410396243
685281,12.7,12.733,12.733,12.733,12.733,12.983619247348766,12.735142101042019,13.126544488196057,14.407024565023265,12.733,12.828457410396243
686281,12.7,12.733,12.733,12.733,12.733,12.933495397879014,12.73407105052101,13.047835590556845,14.352648423578353,12.733,12.828457410396243
687281,12.7,12.733,12.733,12.733,12.733,12.893396318303212,12.733535525260505,12.984868472445477,14.300175798326446,12.733,12.828457410396243
688281,12.7,12.716000000000001,12.729600000000001,12.733,12.733,12.857917054642572,12.724767762630254,12.934494777956383,14.248978100275757,12.733,12.810400712005084
689281,12.7,12.733,12.729600000000001,12.733,12.733,12.832933643714059,12.728883881315127,12.894195822365107,14.200097077750423,12.733,12.828457410396243
690281,12.7,12.716000000000001,12.7262,12.733,12.733,12.809546914971248,12.722441940657564,12.861956657892087,14.15234731378085,12.732999999999999,12.810400712005084
691281,12.7,12.733,12.7262,12.733,12.733,12.794237531976998,12.727720970328782,12.83616532631367,14.106773363202793,12.732999999999999,12.828457410396243
692281,12.7,12.716000000000001,12.722800000000001,12.716000000000001,12.733,12.7785900255816,12.721860485164392,12.812132261050937,14.0622018452098,12.716000000000001,12.810400712005084
693281,12.7,12.733,12.7262,12.733,12.733,12.769472020465281,12.727430242582196,12.796305808840751,14.019679644074982,12.732999999999999,12.828457410396243
694281,12.7,12.733,12.7262,12.733,12.733,12.762177616372226,12.7302151212911,12.7836446470726,13.978586767558417,12.732999999999999,12.828457410396243
695281,12.7,12.733,12.729600000000001,12.733,12.733,12.75634209309778,12.73160756064555,12.77351571765808,13.938868887151484,12.733,12.828457410396243
696281,12.7,12.716000000000001,12.7262,12.733,12.733,12.748273674478225,12.723803780322775,12.765412574126465,13.899933019615823,12.732999999999999,12.810400712005084
697281,12.7,12.733,12.729600000000001,12.733,12.733,12.74521893958258,12.728401890161388,12.758930059301173,13.862829669947814,12.733,12.828457410396243
698281,12.7,12.733,12.729600000000001,12.733,12.733,12.742775151666065,12.730700945080695,12.75374404744094,13.826952817656482,12.733,12.828457410396243
699281,12.7,12.733,12.729600000000001,12.733,12.733,12.740820121332852,12.731850472540348,12.749595237952752,13.792257666157795,12.733,12.828457410396243
700281,12.7,12.733,12.729600000000001,12.733,12.733,12.739256097066283,12.732425236270174,12.746276190362202,13.758701433203452,12.733,12.828457410396243
701281,12.7,12.733,12.733,12.733,12.733,12.738004877653028,12.732712618135087,12.743620952289762,13.726243228958767,12.733,12.828457410396243
702281,12.7,12.733,12.733,12.733,12.733,12.737003902122423,12.732856309067543,12.74149676183181,13.694843943703571,12.733,12.828457410396243
703281,12.7,12.733,12.733,12.733,12.733,12.736203121697939,12.732928154533772,12.739797409465448,13.664466144258077,12.733,12.828457410396243
704281,12.7,12.733,12.733,12.733,12.733,12.735562497358352,12.732964077266885,12.738437927572358,13.635073978328704,12.733,12.828457410396243
